alpha,level,metric,mean,std
0.0,family,coverage,0.9997727989902176,0.0002726475323453
0.0,family,set_size_mean,4.540880403912906,0.5511459059243663
0.0,family,set_size_median,4.76,0.4763809143009448
0.0,family,empty_rate,0.0,0.0
0.0,family,singleton_rate,0.0204701798674658,0.038350998965532
0.0,family,top1_acc_non_empty,0.9543925528557904,0.0014843469474336
0.0,family,base_top1_acc,0.9543925528557904,0.0014843469474336
0.0,family,hir,0.4829189018617857,0.3551325273874592
0.0,major,coverage,0.9998453770905648,0.0003082104097553
0.0,major,set_size_mean,19.343695171978545,3.1646550188089555
0.0,major,set_size_median,19.54,3.124687739500982
0.0,major,empty_rate,0.0,0.0
0.0,major,singleton_rate,0.0004480908804038,0.0012823373467139
0.0,major,top1_acc_non_empty,0.8282865257178916,0.0032492392621583
0.0,major,base_top1_acc,0.8282865257178916,0.0032492392621583
0.0,major,hir,,
0.0,leaf,coverage,0.9999873777216788,8.925298594972259e-05
0.0,leaf,set_size_mean,53.973922372988326,0.1843966689720929
0.0,leaf,set_size_median,54.0,0.0
0.0,leaf,empty_rate,0.0,0.0
0.0,leaf,singleton_rate,3.1555695803000005e-06,2.231324648736118e-05
0.0,leaf,top1_acc_non_empty,0.7226853897128427,0.0034661305274381
0.0,leaf,base_top1_acc,0.7226853897128427,0.0034661305274381
0.0,leaf,hir,,
0.01,family,coverage,0.9903124013884504,0.0018388926704567
0.01,family,set_size_mean,1.2267655411801826,0.0073234913987265
0.01,family,set_size_median,1.0,0.0
0.01,family,empty_rate,0.0,0.0
0.01,family,singleton_rate,0.8124329441464181,0.0031188088105469
0.01,family,top1_acc_non_empty,0.9543925528557904,0.0014843469474336
0.01,family,base_top1_acc,0.9543925528557904,0.0014843469474336
0.01,family,hir,0.7954307352477119,0.0231006748374546
0.01,major,coverage,0.9897633322814764,0.0018533787779836
0.01,major,set_size_mean,2.389009151151783,0.0864152529973094
0.01,major,set_size_median,2.0,0.0
0.01,major,empty_rate,0.0,0.0
0.01,major,singleton_rate,0.4466740296623536,0.0222703887128078
0.01,major,top1_acc_non_empty,0.8282865257178916,0.0032492392621583
0.01,major,base_top1_acc,0.8282865257178916,0.0032492392621583
0.01,major,hir,,
0.01,leaf,coverage,0.9899274218996524,0.001812557337197
0.01,leaf,set_size_mean,6.066655096244873,0.5120337671483921
0.01,leaf,set_size_median,5.06,0.5499536158548617
0.01,leaf,empty_rate,0.0,0.0
0.01,leaf,singleton_rate,0.0558030924581882,0.0147088425682085
0.01,leaf,top1_acc_non_empty,0.7226853897128427,0.0034661305274381
0.01,leaf,base_top1_acc,0.7226853897128427,0.0034661305274381
0.01,leaf,hir,,
0.02,family,coverage,0.9806532029031236,0.002185752356546
0.02,family,set_size_mean,1.1281760807825807,0.0169473653989633
