method,alpha,level,metric,mean,std
LwCP,0.0,family,coverage,0.999781990521327,0.000261032057021
LwCP,0.0,family,set_size_mean,3.668331753554503,0.3947270034919657
LwCP,0.0,family,set_size_median,3.74,0.4869731585445517
LwCP,0.0,family,empty_rate,0.0,0.0
LwCP,0.0,family,singleton_rate,0.0817061611374402,0.0595757847653927
LwCP,0.0,family,top1_acc_non_empty,0.9554091627172192,0.0015158788953192
LwCP,0.0,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.0,family,hir,0.9636777251184828,0.0468710385825212
LwCP,0.0,major,coverage,0.9997851500789888,0.0002778006328762
LwCP,0.0,major,set_size_mean,17.063026856240125,2.4138439540599514
LwCP,0.0,major,set_size_median,17.76,2.495383492674063
LwCP,0.0,major,empty_rate,0.0,0.0
LwCP,0.0,major,singleton_rate,0.0003949447077408,0.0010179515243819
LwCP,0.0,major,top1_acc_non_empty,0.8430774091627168,0.0027613529109355
LwCP,0.0,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.0,major,hir,,
LwCP,0.0,leaf,coverage,0.9997661927330171,0.0002577924678185
LwCP,0.0,leaf,set_size_mean,31.11380410742496,8.119973339834385
LwCP,0.0,leaf,set_size_median,31.94,8.617518938363943
LwCP,0.0,leaf,empty_rate,0.0,0.0
LwCP,0.0,leaf,singleton_rate,0.0020442338072667,0.0015718309274202
LwCP,0.0,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
LwCP,0.0,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.0,leaf,hir,,
LwCP,0.01,family,coverage,0.9902022116903628,0.0015288199187324
LwCP,0.01,family,set_size_mean,1.2233048973143754,0.0074892140197009
LwCP,0.01,family,set_size_median,1.0,0.0
LwCP,0.01,family,empty_rate,0.0,0.0
LwCP,0.01,family,singleton_rate,0.8206477093206945,0.0033390743593401
LwCP,0.01,family,top1_acc_non_empty,0.9554091627172192,0.0015158788953192
LwCP,0.01,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.01,family,hir,0.5157503949447073,0.021173781635744
LwCP,0.01,major,coverage,0.989646129541864,0.002262734313141
LwCP,0.01,major,set_size_mean,2.198274881516588,0.0889818214498014
LwCP,0.01,major,set_size_median,1.62,0.4903143514780146
LwCP,0.01,major,empty_rate,0.0,0.0
LwCP,0.01,major,singleton_rate,0.4899241706161133,0.0209941506576528
LwCP,0.01,major,top1_acc_non_empty,0.8430774091627168,0.0027613529109355
LwCP,0.01,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.01,major,hir,,
LwCP,0.01,leaf,coverage,0.9897187993680882,0.0018342436134454
LwCP,0.01,leaf,set_size_mean,4.009330173775672,0.1239313490221564
LwCP,0.01,leaf,set_size_median,2.98,0.1414213562373095
LwCP,0.01,leaf,empty_rate,0.0,0.0
LwCP,0.01,leaf,singleton_rate,0.2937661927330169,0.0206358212342809
LwCP,0.01,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
LwCP,0.01,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.01,leaf,hir,,
LwCP,0.02,family,coverage,0.9804865718799364,0.002083930057879
LwCP,0.02,family,set_size_mean,1.1107203791469191,0.0150185347915889
LwCP,0.02,family,set_size_median,1.0,0.0
LwCP,0.02,family,empty_rate,0.0,0.0
LwCP,0.02,family,singleton_rate,0.8997535545023695,0.013585354147759
LwCP,0.02,family,top1_acc_non_empty,0.9554091627172192,0.0015158788953192
LwCP,0.02,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.02,family,hir,0.3953649289099521,0.0111704774828789
LwCP,0.02,major,coverage,0.979330173775671,0.0024964953489734
LwCP,0.02,major,set_size_mean,1.802966824644549,0.0301433563051455
LwCP,0.02,major,set_size_median,1.0,0.0
LwCP,0.02,major,empty_rate,0.0,0.0
LwCP,0.02,major,singleton_rate,0.5802969984202208,0.00957953451549
LwCP,0.02,major,top1_acc_non_empty,0.8430774091627168,0.0027613529109355
LwCP,0.02,major,base_top1_acc,0.8430774091627168,0.0027613529109355
LwCP,0.02,major,hir,,
LwCP,0.02,leaf,coverage,0.9799810426540282,0.0027695670864385
LwCP,0.02,leaf,set_size_mean,3.046224328593996,0.0714461354399521
LwCP,0.02,leaf,set_size_median,2.0,0.0
LwCP,0.02,leaf,empty_rate,0.0,0.0
LwCP,0.02,leaf,singleton_rate,0.4501516587677721,0.0099894210352707
LwCP,0.02,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
LwCP,0.02,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
LwCP,0.02,leaf,hir,,
LwCP,0.03,family,coverage,0.9704612954186412,0.0027598861576427
LwCP,0.03,family,set_size_mean,1.0354913112164292,0.0034380311686916
LwCP,0.03,family,set_size_median,1.0,0.0
LwCP,0.03,family,empty_rate,0.0,0.0
LwCP,0.03,family,singleton_rate,0.9657282780410738,0.0030058036908924
LwCP,0.03,family,top1_acc_non_empty,0.9554091627172192,0.0015158788953192
LwCP,0.03,family,base_top1_acc,0.9554091627172192,0.0015158788953192
LwCP,0.03,family,hir,0.3507298578199049,0.0071958202903899
LwCP,0.03,major,coverage,0.9692164296998418,0.0028031952369872
LwCP,0.03,major,set_size_mean,1.6246540284360185,0.0174252295630508
LwCP,0.03,major,set_size_median,1.0,0.0
LwCP,0.03,major,empty_rate,0.0,0.0
LwCP,0.03,major,singleton_rate,0.6309541864139017,0.0063750794219612
