baseline,alpha,level,metric,mean,std
A,0.02,family,coverage,0.984360189573459,
A,0.02,family,set_size_mean,1.148499210110584,
A,0.02,family,set_size_median,1.0,
A,0.02,family,empty_rate,0.0,
A,0.02,family,singleton_rate,0.865718799368088,
A,0.02,family,top1_acc_non_empty,0.957187993680884,
A,0.02,family,base_top1_acc,0.957187993680884,
A,0.02,family,hir,0.374881516587677,
A,0.02,major,coverage,0.983096366508688,
A,0.02,major,set_size_mean,1.846603475513428,
A,0.02,major,set_size_median,1.0,
A,0.02,major,empty_rate,0.0,
A,0.02,major,singleton_rate,0.57345971563981,
A,0.02,major,top1_acc_non_empty,0.8475513428120061,
A,0.02,major,base_top1_acc,0.8475513428120061,
A,0.02,major,hir,,
A,0.02,leaf,coverage,0.9824644549763032,
A,0.02,leaf,set_size_mean,3.109004739336493,
A,0.02,leaf,set_size_median,2.0,
A,0.02,leaf,empty_rate,0.0,
A,0.02,leaf,singleton_rate,0.448025276461295,
A,0.02,leaf,top1_acc_non_empty,0.72780410742496,
A,0.02,leaf,base_top1_acc,0.72780410742496,
A,0.02,leaf,hir,,
A,0.15,family,coverage,0.8454976303317531,
A,0.15,family,set_size_mean,0.853712480252764,
A,0.15,family,set_size_median,1.0,
A,0.15,family,empty_rate,0.146287519747235,
A,0.15,family,singleton_rate,0.853712480252764,
A,0.15,family,top1_acc_non_empty,0.990377498149518,
A,0.15,family,base_top1_acc,0.957187993680884,
A,0.15,family,hir,0.281832543443917,
A,0.15,major,coverage,0.8593996840442331,
A,0.15,major,set_size_mean,1.0173775671406,
A,0.15,major,set_size_median,1.0,
A,0.15,major,empty_rate,0.027172195892575,
A,0.15,major,singleton_rate,0.928278041074249,
A,0.15,major,top1_acc_non_empty,0.8647288080545631,
A,0.15,major,base_top1_acc,0.8475513428120061,
A,0.15,major,hir,,
A,0.15,leaf,coverage,0.8589257503949441,
A,0.15,leaf,set_size_mean,1.337914691943128,
A,0.15,leaf,set_size_median,1.0,
A,0.15,leaf,empty_rate,0.008372827804107,
A,0.15,leaf,singleton_rate,0.7096366508688781,
A,0.15,leaf,top1_acc_non_empty,0.733312091763581,
A,0.15,leaf,base_top1_acc,0.72780410742496,
A,0.15,leaf,hir,,
B,0.02,family,coverage,0.992890995260663,
B,0.02,family,set_size_mean,1.389573459715639,
B,0.02,family,set_size_median,1.0,
B,0.02,family,empty_rate,0.0,
B,0.02,family,singleton_rate,0.711690363349131,
B,0.02,family,top1_acc_non_empty,0.944391785150079,
B,0.02,family,base_top1_acc,0.944391785150079,
B,0.02,family,hir,0.0,
B,0.02,major,coverage,0.984518167456556,
B,0.02,major,set_size_mean,2.20695102685624,
B,0.02,major,set_size_median,2.0,
B,0.02,major,empty_rate,0.0,
B,0.02,major,singleton_rate,0.484044233807266,
B,0.02,major,top1_acc_non_empty,0.825750394944707,
B,0.02,major,base_top1_acc,0.825750394944707,
B,0.02,major,hir,,
B,0.02,leaf,coverage,0.9824644549763032,
B,0.02,leaf,set_size_mean,3.109004739336493,
B,0.02,leaf,set_size_median,2.0,
B,0.02,leaf,empty_rate,0.0,
B,0.02,leaf,singleton_rate,0.448025276461295,
B,0.02,leaf,top1_acc_non_empty,0.72780410742496,
B,0.02,leaf,base_top1_acc,0.72780410742496,
B,0.02,leaf,hir,,
B,0.15,family,coverage,0.9557661927330172,
B,0.15,family,set_size_mean,1.037440758293839,
B,0.15,family,set_size_median,1.0,
B,0.15,family,empty_rate,0.008372827804107,
B,0.15,family,singleton_rate,0.945813586097946,
B,0.15,family,top1_acc_non_empty,0.947427114863788,
B,0.15,family,base_top1_acc,0.944391785150079,
B,0.15,family,hir,0.0,
B,0.15,major,coverage,0.8813586097946281,
B,0.15,major,set_size_mean,1.15260663507109,
B,0.15,major,set_size_median,1.0,
B,0.15,major,empty_rate,0.008372827804107,
