alpha,level,metric,mean,std
0.02,family,coverage,0.984360189573459,
0.02,family,set_size_mean,1.148499210110584,
0.02,family,set_size_median,1.0,
0.02,family,empty_rate,0.0,
0.02,family,singleton_rate,0.865718799368088,
0.02,family,top1_acc_non_empty,0.957187993680884,
0.02,family,base_top1_acc,0.957187993680884,
0.02,family,hir,0.374881516587677,
0.02,major,coverage,0.983096366508688,
0.02,major,set_size_mean,1.846603475513428,
0.02,major,set_size_median,1.0,
0.02,major,empty_rate,0.0,
0.02,major,singleton_rate,0.57345971563981,
0.02,major,top1_acc_non_empty,0.8475513428120061,
0.02,major,base_top1_acc,0.8475513428120061,
0.02,major,hir,,
0.02,leaf,coverage,0.9824644549763032,
0.02,leaf,set_size_mean,3.109004739336493,
0.02,leaf,set_size_median,2.0,
0.02,leaf,empty_rate,0.0,
0.02,leaf,singleton_rate,0.448025276461295,
0.02,leaf,top1_acc_non_empty,0.72780410742496,
0.02,leaf,base_top1_acc,0.72780410742496,
0.02,leaf,hir,,
0.15,family,coverage,0.8454976303317531,
0.15,family,set_size_mean,0.853712480252764,
0.15,family,set_size_median,1.0,
0.15,family,empty_rate,0.146287519747235,
0.15,family,singleton_rate,0.853712480252764,
0.15,family,top1_acc_non_empty,0.990377498149518,
0.15,family,base_top1_acc,0.957187993680884,
0.15,family,hir,0.281832543443917,
0.15,major,coverage,0.8593996840442331,
0.15,major,set_size_mean,1.0173775671406,
0.15,major,set_size_median,1.0,
0.15,major,empty_rate,0.027172195892575,
0.15,major,singleton_rate,0.928278041074249,
0.15,major,top1_acc_non_empty,0.8647288080545631,
0.15,major,base_top1_acc,0.8475513428120061,
0.15,major,hir,,
0.15,leaf,coverage,0.8589257503949441,
0.15,leaf,set_size_mean,1.337914691943128,
0.15,leaf,set_size_median,1.0,
0.15,leaf,empty_rate,0.008372827804107,
0.15,leaf,singleton_rate,0.7096366508688781,
0.15,leaf,top1_acc_non_empty,0.733312091763581,
0.15,leaf,base_top1_acc,0.72780410742496,
0.15,leaf,hir,,
