alpha,level,metric,mean,std
0.02,family,coverage,0.992890995260663,
0.02,family,set_size_mean,1.389573459715639,
0.02,family,set_size_median,1.0,
0.02,family,empty_rate,0.0,
0.02,family,singleton_rate,0.711690363349131,
0.02,family,top1_acc_non_empty,0.944391785150079,
0.02,family,base_top1_acc,0.944391785150079,
0.02,family,hir,0.0,
0.02,major,coverage,0.984518167456556,
0.02,major,set_size_mean,2.20695102685624,
0.02,major,set_size_median,2.0,
0.02,major,empty_rate,0.0,
0.02,major,singleton_rate,0.484044233807266,
0.02,major,top1_acc_non_empty,0.825750394944707,
0.02,major,base_top1_acc,0.825750394944707,
0.02,major,hir,,
0.02,leaf,coverage,0.9824644549763032,
0.02,leaf,set_size_mean,3.109004739336493,
0.02,leaf,set_size_median,2.0,
0.02,leaf,empty_rate,0.0,
0.02,leaf,singleton_rate,0.448025276461295,
0.02,leaf,top1_acc_non_empty,0.72780410742496,
0.02,leaf,base_top1_acc,0.72780410742496,
0.02,leaf,hir,,
0.15,family,coverage,0.9557661927330172,
0.15,family,set_size_mean,1.037440758293839,
0.15,family,set_size_median,1.0,
0.15,family,empty_rate,0.008372827804107,
0.15,family,singleton_rate,0.945813586097946,
0.15,family,top1_acc_non_empty,0.947427114863788,
0.15,family,base_top1_acc,0.944391785150079,
0.15,family,hir,0.0,
0.15,major,coverage,0.8813586097946281,
0.15,major,set_size_mean,1.15260663507109,
0.15,major,set_size_median,1.0,
0.15,major,empty_rate,0.008372827804107,
0.15,major,singleton_rate,0.837598736176935,
0.15,major,top1_acc_non_empty,0.831766767564123,
0.15,major,base_top1_acc,0.825750394944707,
0.15,major,hir,,
0.15,leaf,coverage,0.8589257503949441,
0.15,leaf,set_size_mean,1.337914691943128,
0.15,leaf,set_size_median,1.0,
0.15,leaf,empty_rate,0.008372827804107,
0.15,leaf,singleton_rate,0.7096366508688781,
0.15,leaf,top1_acc_non_empty,0.733312091763581,
0.15,leaf,base_top1_acc,0.72780410742496,
0.15,leaf,hir,,
