baseline,alpha,level,metric,mean,std
A,0.05,family,coverage,0.9513428120063192,
A,0.05,family,set_size_mean,0.9857819905213272,
A,0.05,family,set_size_median,1.0,
A,0.05,family,empty_rate,0.014218009478672,
A,0.05,family,singleton_rate,0.9857819905213272,
A,0.05,family,top1_acc_non_empty,0.965064102564102,
A,0.05,family,base_top1_acc,0.957187993680884,
A,0.05,family,hir,0.330173775671406,
A,0.05,major,coverage,0.95955766192733,
A,0.05,major,set_size_mean,1.47172195892575,
A,0.05,major,set_size_median,1.0,
A,0.05,major,empty_rate,0.0,
A,0.05,major,singleton_rate,0.696524486571879,
A,0.05,major,top1_acc_non_empty,0.8475513428120061,
A,0.05,major,base_top1_acc,0.8475513428120061,
A,0.05,major,hir,,
A,0.05,leaf,coverage,0.958135860979462,
A,0.05,leaf,set_size_mean,2.225118483412322,
A,0.05,leaf,set_size_median,1.0,
A,0.05,leaf,empty_rate,0.0,
A,0.05,leaf,singleton_rate,0.543127962085308,
A,0.05,leaf,top1_acc_non_empty,0.72780410742496,
A,0.05,leaf,base_top1_acc,0.72780410742496,
A,0.05,leaf,hir,,
A,0.25,family,coverage,0.7484992101105841,
A,0.25,family,set_size_mean,0.751342812006319,
A,0.25,family,set_size_median,1.0,
A,0.25,family,empty_rate,0.24865718799368,
A,0.25,family,singleton_rate,0.751342812006319,
A,0.25,family,top1_acc_non_empty,0.996215306980656,
A,0.25,family,base_top1_acc,0.957187993680884,
A,0.25,family,hir,0.370774091627172,
A,0.25,major,coverage,0.7529225908372821,
A,0.25,major,set_size_mean,0.7895734597156391,
A,0.25,major,set_size_median,1.0,
A,0.25,major,empty_rate,0.21042654028436,
A,0.25,major,singleton_rate,0.7895734597156391,
A,0.25,major,top1_acc_non_empty,0.9535814325730292,
A,0.25,major,base_top1_acc,0.8475513428120061,
A,0.25,major,hir,,
A,0.25,leaf,coverage,0.760189573459715,
A,0.25,leaf,set_size_mean,1.031595576619273,
A,0.25,leaf,set_size_median,1.0,
A,0.25,leaf,empty_rate,0.07867298578199,
A,0.25,leaf,singleton_rate,0.8110584518167451,
A,0.25,leaf,top1_acc_non_empty,0.776234567901234,
A,0.25,leaf,base_top1_acc,0.72780410742496,
A,0.25,leaf,hir,,
B,0.05,family,coverage,0.98562401263823,
B,0.05,family,set_size_mean,1.241390205371248,
B,0.05,family,set_size_median,1.0,
B,0.05,family,empty_rate,0.0,
B,0.05,family,singleton_rate,0.7974723538704581,
B,0.05,family,top1_acc_non_empty,0.944391785150079,
B,0.05,family,base_top1_acc,0.944391785150079,
B,0.05,family,hir,0.0,
B,0.05,major,coverage,0.966034755134281,
B,0.05,major,set_size_mean,1.7142180094786732,
B,0.05,major,set_size_median,1.0,
B,0.05,major,empty_rate,0.0,
B,0.05,major,singleton_rate,0.602685624012638,
B,0.05,major,top1_acc_non_empty,0.825750394944707,
B,0.05,major,base_top1_acc,0.825750394944707,
B,0.05,major,hir,,
B,0.05,leaf,coverage,0.958135860979462,
B,0.05,leaf,set_size_mean,2.225118483412322,
B,0.05,leaf,set_size_median,1.0,
B,0.05,leaf,empty_rate,0.0,
B,0.05,leaf,singleton_rate,0.543127962085308,
B,0.05,leaf,top1_acc_non_empty,0.72780410742496,
B,0.05,leaf,base_top1_acc,0.72780410742496,
B,0.05,leaf,hir,,
B,0.25,family,coverage,0.8857819905213271,
B,0.25,family,set_size_mean,0.9548183254344392,
B,0.25,family,set_size_median,1.0,
B,0.25,family,empty_rate,0.07867298578199,
B,0.25,family,singleton_rate,0.8878357030015791,
B,0.25,family,top1_acc_non_empty,0.949074074074074,
B,0.25,family,base_top1_acc,0.944391785150079,
B,0.25,family,hir,0.0,
B,0.25,major,coverage,0.8199052132701421,
B,0.25,major,set_size_mean,0.993996840442338,
B,0.25,major,set_size_median,1.0,
B,0.25,major,empty_rate,0.07867298578199,
B,0.25,major,singleton_rate,0.8486571879936801,
B,0.25,major,top1_acc_non_empty,0.861111111111111,
B,0.25,major,base_top1_acc,0.825750394944707,
B,0.25,major,hir,,
B,0.25,leaf,coverage,0.760189573459715,
B,0.25,leaf,set_size_mean,1.031595576619273,
B,0.25,leaf,set_size_median,1.0,
B,0.25,leaf,empty_rate,0.07867298578199,
B,0.25,leaf,singleton_rate,0.8110584518167451,
B,0.25,leaf,top1_acc_non_empty,0.776234567901234,
B,0.25,leaf,base_top1_acc,0.72780410742496,
B,0.25,leaf,hir,,
SCP,0.05,family,coverage,0.958925750394944,
SCP,0.05,family,set_size_mean,2.017061611374407,
SCP,0.05,family,set_size_median,2.0,
SCP,0.05,family,empty_rate,0.0,
SCP,0.05,family,singleton_rate,0.204423380726698,
SCP,0.05,family,top1_acc_non_empty,0.92259083728278,
SCP,0.05,family,base_top1_acc,0.944391785150079,
SCP,0.05,family,hir,0.0,
SCP,0.05,major,coverage,0.958925750394944,
SCP,0.05,major,set_size_mean,9.681516587677724,
SCP,0.05,major,set_size_median,10.0,
SCP,0.05,major,empty_rate,0.0,
SCP,0.05,major,singleton_rate,0.0,
SCP,0.05,major,top1_acc_non_empty,0.809794628751974,
SCP,0.05,major,base_top1_acc,0.825750394944707,
SCP,0.05,major,hir,,
SCP,0.05,leaf,coverage,0.958925750394944,
SCP,0.05,leaf,set_size_mean,24.067614533965244,
SCP,0.05,leaf,set_size_median,25.0,
SCP,0.05,leaf,empty_rate,0.0,
SCP,0.05,leaf,singleton_rate,0.0,
SCP,0.05,leaf,top1_acc_non_empty,0.7121642969984201,
SCP,0.05,leaf,base_top1_acc,0.72780410742496,
SCP,0.05,leaf,hir,,
SCP,0.25,family,coverage,0.7876777251184831,
SCP,0.25,family,set_size_mean,1.5109004739336491,
SCP,0.25,family,set_size_median,2.0,
SCP,0.25,family,empty_rate,0.0,
SCP,0.25,family,singleton_rate,0.48909952606635,
SCP,0.25,family,top1_acc_non_empty,0.7851500789889411,
SCP,0.25,family,base_top1_acc,0.944391785150079,
SCP,0.25,family,hir,0.0,
SCP,0.25,major,coverage,0.7876777251184831,
SCP,0.25,major,set_size_mean,7.361137440758294,
SCP,0.25,major,set_size_median,8.0,
SCP,0.25,major,empty_rate,0.0,
SCP,0.25,major,singleton_rate,0.0,
SCP,0.25,major,top1_acc_non_empty,0.744707740916271,
SCP,0.25,major,base_top1_acc,0.825750394944707,
SCP,0.25,major,hir,,
SCP,0.25,leaf,coverage,0.7876777251184831,
SCP,0.25,leaf,set_size_mean,19.11690363349131,
SCP,0.25,leaf,set_size_median,19.0,
SCP,0.25,leaf,empty_rate,0.0,
SCP,0.25,leaf,singleton_rate,0.0,
SCP,0.25,leaf,top1_acc_non_empty,0.65086887835703,
SCP,0.25,leaf,base_top1_acc,0.72780410742496,
SCP,0.25,leaf,hir,,
