alpha,level,metric,mean,std
0.02,family,coverage,0.984360189573459,
0.02,family,set_size_mean,1.148499210110584,
0.02,family,set_size_median,1.0,
0.02,family,empty_rate,0.0,
0.02,family,singleton_rate,0.865718799368088,
0.02,family,top1_acc_non_empty,0.957187993680884,
0.02,family,base_top1_acc,0.957187993680884,
0.02,family,hir,0.374881516587677,
0.02,major,coverage,0.983096366508688,
0.02,major,set_size_mean,1.846603475513428,
0.02,major,set_size_median,1.0,
0.02,major,empty_rate,0.0,
0.02,major,singleton_rate,0.57345971563981,
0.02,major,top1_acc_non_empty,0.8475513428120061,
0.02,major,base_top1_acc,0.8475513428120061,
0.02,major,hir,,
0.02,leaf,coverage,0.9824644549763032,
0.02,leaf,set_size_mean,3.109004739336493,
0.02,leaf,set_size_median,2.0,
0.02,leaf,empty_rate,0.0,
0.02,leaf,singleton_rate,0.448025276461295,
0.02,leaf,top1_acc_non_empty,0.72780410742496,
0.02,leaf,base_top1_acc,0.72780410742496,
0.02,leaf,hir,,
0.05,family,coverage,0.9513428120063192,
0.05,family,set_size_mean,0.9857819905213272,
0.05,family,set_size_median,1.0,
0.05,family,empty_rate,0.014218009478672,
0.05,family,singleton_rate,0.9857819905213272,
0.05,family,top1_acc_non_empty,0.965064102564102,
0.05,family,base_top1_acc,0.957187993680884,
0.05,family,hir,0.330173775671406,
0.05,major,coverage,0.95955766192733,
0.05,major,set_size_mean,1.47172195892575,
0.05,major,set_size_median,1.0,
0.05,major,empty_rate,0.0,
0.05,major,singleton_rate,0.696524486571879,
0.05,major,top1_acc_non_empty,0.8475513428120061,
0.05,major,base_top1_acc,0.8475513428120061,
0.05,major,hir,,
0.05,leaf,coverage,0.958135860979462,
0.05,leaf,set_size_mean,2.225118483412322,
0.05,leaf,set_size_median,1.0,
0.05,leaf,empty_rate,0.0,
0.05,leaf,singleton_rate,0.543127962085308,
0.05,leaf,top1_acc_non_empty,0.72780410742496,
0.05,leaf,base_top1_acc,0.72780410742496,
0.05,leaf,hir,,
0.1,family,coverage,0.896840442338072,
0.1,family,set_size_mean,0.908846761453396,
0.1,family,set_size_median,1.0,
0.1,family,empty_rate,0.091153238546603,
0.1,family,singleton_rate,0.908846761453396,
0.1,family,top1_acc_non_empty,0.9867895011298452,
0.1,family,base_top1_acc,0.957187993680884,
0.1,family,hir,0.237756714060031,
0.1,major,coverage,0.908056872037914,
0.1,major,set_size_mean,1.189257503949447,
0.1,major,set_size_median,1.0,
0.1,major,empty_rate,0.000157977883096,
0.1,major,singleton_rate,0.8358609794628751,
0.1,major,top1_acc_non_empty,0.84768525833465,
0.1,major,base_top1_acc,0.8475513428120061,
0.1,major,hir,,
0.1,leaf,coverage,0.907266982622432,
0.1,leaf,set_size_mean,1.574565560821485,
0.1,leaf,set_size_median,1.0,
0.1,leaf,empty_rate,0.000315955766192,
0.1,leaf,singleton_rate,0.630331753554502,
