alpha,level,metric,mean,std
0.02,family,coverage,0.992890995260663,
0.02,family,set_size_mean,1.389573459715639,
0.02,family,set_size_median,1.0,
0.02,family,empty_rate,0.0,
0.02,family,singleton_rate,0.711690363349131,
0.02,family,top1_acc_non_empty,0.944391785150079,
0.02,family,base_top1_acc,0.944391785150079,
0.02,family,hir,0.0,
0.02,major,coverage,0.984518167456556,
0.02,major,set_size_mean,2.20695102685624,
0.02,major,set_size_median,2.0,
0.02,major,empty_rate,0.0,
0.02,major,singleton_rate,0.484044233807266,
0.02,major,top1_acc_non_empty,0.825750394944707,
0.02,major,base_top1_acc,0.825750394944707,
0.02,major,hir,,
0.02,leaf,coverage,0.9824644549763032,
0.02,leaf,set_size_mean,3.109004739336493,
0.02,leaf,set_size_median,2.0,
0.02,leaf,empty_rate,0.0,
0.02,leaf,singleton_rate,0.448025276461295,
0.02,leaf,top1_acc_non_empty,0.72780410742496,
0.02,leaf,base_top1_acc,0.72780410742496,
0.02,leaf,hir,,
