coverage,set_size_mean,set_size_median,empty_rate,singleton_rate,top1_acc_non_empty,base_top1_acc,hir,level,alpha,run
1.0,4.610584518167457,5.0,0.0,0.004107424960505,0.944391785150079,0.944391785150079,0.0,family,0.0,1
1.0,4.568088467614534,5.0,0.0,0.0055292259083720005,0.9428120063191151,0.9428120063191151,0.0,family,0.0,2
1.0,4.9674565560821495,5.0,0.0,0.0,0.944391785150079,0.944391785150079,0.0,family,0.0,3
1.0,4.737756714060032,5.0,0.0,0.003791469194312,0.9440758293838861,0.9440758293838861,0.0,family,0.0,4
1.0,4.613744075829384,5.0,0.0,0.004107424960505,0.9406003159557661,0.9406003159557661,0.0,family,0.0,5
1.0,4.9682464454976305,5.0,0.0,0.0,0.9429699842022111,0.9429699842022111,0.0,family,0.0,6
1.0,4.964139020537125,5.0,0.0,0.0,0.946445497630331,0.946445497630331,0.0,family,0.0,7
1.0,4.967298578199052,5.0,0.0,0.0,0.942338072669826,0.942338072669826,0.0,family,0.0,8
1.0,4.969668246445497,5.0,0.0,0.0,0.943285939968404,0.943285939968404,0.0,family,0.0,9
1.0,4.733649289099526,5.0,0.0,0.0036334913112160004,0.9398104265402841,0.9398104265402841,0.0,family,0.0,10
