alpha,level,metric,mean,std
0.02,family,coverage,0.983728278041074,
0.02,family,set_size_mean,2.321484992101106,
0.02,family,set_size_median,2.0,
0.02,family,empty_rate,0.0,
0.02,family,singleton_rate,0.110900473933649,
0.02,family,top1_acc_non_empty,0.916113744075829,
0.02,family,base_top1_acc,0.944391785150079,
0.02,family,hir,0.0,
0.02,major,coverage,0.924802527646129,
0.02,major,set_size_mean,4.417219589257504,
0.02,major,set_size_median,2.0,
0.02,major,empty_rate,0.0,
0.02,major,singleton_rate,0.108372827804107,
0.02,major,top1_acc_non_empty,0.795576619273301,
0.02,major,base_top1_acc,0.825750394944707,
0.02,major,hir,,
0.02,leaf,coverage,0.921642969984202,
0.02,leaf,set_size_mean,9.874881516587678,
0.02,leaf,set_size_median,5.0,
0.02,leaf,empty_rate,0.0,
0.02,leaf,singleton_rate,0.060189573459715,
0.02,leaf,top1_acc_non_empty,0.6981042654028431,
0.02,leaf,base_top1_acc,0.72780410742496,
0.02,leaf,hir,,
0.05,family,coverage,0.958925750394944,
0.05,family,set_size_mean,2.017061611374407,
0.05,family,set_size_median,2.0,
0.05,family,empty_rate,0.0,
0.05,family,singleton_rate,0.204423380726698,
0.05,family,top1_acc_non_empty,0.9004739336492891,
0.05,family,base_top1_acc,0.944391785150079,
0.05,family,hir,0.0,
0.05,major,coverage,0.8802527646129541,
0.05,major,set_size_mean,3.33301737756714,
0.05,major,set_size_median,2.0,
0.05,major,empty_rate,0.0,
0.05,major,singleton_rate,0.193206951026856,
0.05,major,top1_acc_non_empty,0.7905213270142181,
0.05,major,base_top1_acc,0.825750394944707,
0.05,major,hir,,
0.05,leaf,coverage,0.8725118483412321,
0.05,leaf,set_size_mean,7.23001579778831,
0.05,leaf,set_size_median,4.0,
0.05,leaf,empty_rate,0.0,
0.05,leaf,singleton_rate,0.075513428120063,
0.05,leaf,top1_acc_non_empty,0.6946287519747231,
0.05,leaf,base_top1_acc,0.72780410742496,
0.05,leaf,hir,,
0.1,family,coverage,0.8939968404423381,
0.1,family,set_size_mean,1.768088467614533,
0.1,family,set_size_median,2.0,
0.1,family,empty_rate,0.0,
0.1,family,singleton_rate,0.303949447077409,
0.1,family,top1_acc_non_empty,0.8486571879936801,
0.1,family,base_top1_acc,0.944391785150079,
0.1,family,hir,0.0,
0.1,major,coverage,0.8282780410742491,
0.1,major,set_size_mean,2.595418641390205,
0.1,major,set_size_median,2.0,
0.1,major,empty_rate,0.0,
0.1,major,singleton_rate,0.258925750394944,
0.1,major,top1_acc_non_empty,0.769668246445497,
0.1,major,base_top1_acc,0.825750394944707,
0.1,major,hir,,
0.1,leaf,coverage,0.811848341232227,
0.1,leaf,set_size_mean,5.576461295418642,
0.1,leaf,set_size_median,4.0,
0.1,leaf,empty_rate,0.0,
0.1,leaf,singleton_rate,0.109320695102685,
0.1,leaf,top1_acc_non_empty,0.674565560821485,
0.1,leaf,base_top1_acc,0.72780410742496,
0.1,leaf,hir,,
0.15,family,coverage,0.8663507109004731,
0.15,family,set_size_mean,1.669194312796208,
0.15,family,set_size_median,2.0,
0.15,family,empty_rate,0.0,
0.15,family,singleton_rate,0.340758293838862,
0.15,family,top1_acc_non_empty,0.8410742496050551,
0.15,family,base_top1_acc,0.944391785150079,
0.15,family,hir,0.0,
0.15,major,coverage,0.8048973143759871,
0.15,major,set_size_mean,2.262559241706161,
0.15,major,set_size_median,2.0,
0.15,major,empty_rate,0.0,
0.15,major,singleton_rate,0.286097946287519,
0.15,major,top1_acc_non_empty,0.7570300157977881,
