alpha,level,metric,mean,std
0.0,family,coverage,0.999990521327014,3.7898568322735005e-05
0.0,family,set_size_mean,4.75070458135861,0.1785031069771946
0.0,family,set_size_median,5.0,0.0
0.0,family,empty_rate,0.0,0.0
0.0,family,singleton_rate,0.0031690363349127,0.0025571770907429
0.0,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.0,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.0,family,hir,0.0,0.0
0.0,major,coverage,0.9997756714060032,0.0002325517491728
0.0,major,set_size_mean,16.789270142180094,2.8118684109021754
0.0,major,set_size_median,17.42,2.8720326301369608
0.0,major,empty_rate,0.0,0.0
0.0,major,singleton_rate,0.00224644549763,0.0017415013568588
0.0,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.0,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.0,major,hir,,
0.0,leaf,coverage,0.9997661927330171,0.0002577924678185
0.0,leaf,set_size_mean,31.11380410742496,8.119973339834385
0.0,leaf,set_size_median,31.94,8.617518938363943
0.0,leaf,empty_rate,0.0,0.0
0.0,leaf,singleton_rate,0.0020442338072667,0.0015718309274202
0.0,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.0,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.0,leaf,hir,,
0.01,family,coverage,0.9954660347551336,0.000902871801214
0.01,family,set_size_mean,1.5853744075829383,0.0350032628680281
0.01,family,set_size_median,1.0,0.0
0.01,family,empty_rate,0.0,0.0
0.01,family,singleton_rate,0.5949289099526062,0.0222814372399644
0.01,family,top1_acc_non_empty,0.9429921011058447,0.00240603786588
0.01,family,base_top1_acc,0.9429921011058447,0.00240603786588
0.01,family,hir,0.0,0.0
0.01,major,coverage,0.99101737756714,0.0016611871075312
0.01,major,set_size_mean,2.8282969984202206,0.088341358836632
0.01,major,set_size_median,2.0,0.0
0.01,major,empty_rate,0.0,0.0
0.01,major,singleton_rate,0.3204075829383882,0.0220617657941109
0.01,major,top1_acc_non_empty,0.8208120063191149,0.0029861512821388
0.01,major,base_top1_acc,0.8208120063191149,0.0029861512821388
0.01,major,hir,,
0.01,leaf,coverage,0.9897187993680882,0.0018342436134454
0.01,leaf,set_size_mean,4.009330173775672,0.1239313490221564
0.01,leaf,set_size_median,2.98,0.1414213562373095
0.01,leaf,empty_rate,0.0,0.0
0.01,leaf,singleton_rate,0.2937661927330169,0.0206358212342809
0.01,leaf,top1_acc_non_empty,0.7230900473933645,0.0030608696891871
0.01,leaf,base_top1_acc,0.7230900473933645,0.0030608696891871
0.01,leaf,hir,,
0.02,family,coverage,0.9922969984202208,0.0011273115811855
0.02,family,set_size_mean,1.3754881516587674,0.0135696063526937
0.02,family,set_size_median,1.0,0.0
