,leaf:Android_10,leaf:Android_4_0.0,leaf:Android_4_1.0,leaf:Android_4_2.0,leaf:Android_4_4.0,leaf:Android_5_0.0,leaf:Android_5_1.0,leaf:Android_6_0.0,leaf:Android_7_0.0,leaf:Android_7_1.0,leaf:Android_8_0.0,leaf:Android_8_1.0,leaf:Android_9,leaf:Android_OTHER,leaf:Linux_OTHER,leaf:Linux_Ubuntu,leaf:Windows_10,leaf:Windows_7,leaf:Windows_8_1.0,leaf:Windows_8_OTHER,leaf:Windows_Vista,leaf:Windows_XP,leaf:iOS_10_0.0,leaf:iOS_10_2.0,leaf:iOS_10_3.0,leaf:iOS_11_0.0,leaf:iOS_11_2.0,leaf:iOS_11_4.0,leaf:iOS_12_0.0,leaf:iOS_12_1.0,leaf:iOS_12_2.0,leaf:iOS_12_3.0,leaf:iOS_12_4.0,leaf:iOS_12_OTHER,leaf:iOS_13_1.0,leaf:iOS_13_2.0,leaf:iOS_13_3.0,leaf:iOS_13_4.0,leaf:iOS_13_5.0,leaf:iOS_13_6.0,leaf:iOS_14_0.0,leaf:macOS_10_10.0,leaf:macOS_10_11.0,leaf:macOS_10_12.0,leaf:macOS_10_13.0,leaf:macOS_10_14.0,leaf:macOS_10_15.0,leaf:macOS_10_6.0,leaf:macOS_10_7.0,leaf:macOS_10_8.0,leaf:macOS_10_9.0,leaf:macOS_OTHER
leaf:Android_10,99,0,0,0,0,0,1,0,2,4,64,18,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_4_0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_4_1.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_4_2.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_4_4.0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_5_0.0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_5_1.0,0,0,0,0,0,0,13,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_6_0.0,1,0,0,0,0,1,7,122,14,5,2,4,6,0,2,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_7_0.0,9,0,0,0,0,0,1,0,47,1,19,2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf:Android_7_1.0,4,0,0,0,1,0,0,1,0,12,5,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
