label,precision,recall,f1,support
leaf:Android_10,0.4925373134328358,0.4583333333333333,0.4748201438848921,216
leaf:Android_4_0.0,0.5,0.5,0.5,2
leaf:Android_4_1.0,0.4,1.0,0.5714285714285714,4
leaf:Android_4_2.0,1.0,0.3333333333333333,0.5,3
leaf:Android_4_4.0,0.25,0.875,0.3888888888888889,8
leaf:Android_5_0.0,0.0,0.0,0.0,3
leaf:Android_5_1.0,0.5,0.65,0.5652173913043478,20
leaf:Android_6_0.0,0.8243243243243243,0.6069651741293532,0.6991404011461319,201
leaf:Android_7_0.0,0.5875,0.5402298850574713,0.562874251497006,87
leaf:Android_7_1.0,0.35294117647058826,0.35294117647058826,0.35294117647058826,34
leaf:Android_8_0.0,0.12177121771217712,0.4520547945205479,0.19186046511627908,73
leaf:Android_8_1.0,0.140625,0.20454545454545456,0.16666666666666666,44
leaf:Android_9,0.4794520547945205,0.2681992337164751,0.343980343980344,261
leaf:Linux_Ubuntu,0.9545454545454546,0.9767441860465116,0.9655172413793104,43
leaf:Windows_10,0.9911611088790679,0.9236241108199177,0.9562015503875969,2671
leaf:Windows_7,0.8747795414462081,0.7725856697819314,0.8205128205128205,642
leaf:Windows_8_1.0,0.4214876033057851,0.85,0.56353591160221,120
leaf:Windows_Vista,0.7407407407407407,1.0,0.851063829787234,20
leaf:Windows_XP,0.3614457831325301,0.5555555555555556,0.43795620437956206,54
leaf:iOS_10_0.0,0.0,0.0,0.0,0
leaf:iOS_10_2.0,0.0,0.0,0.0,0
leaf:iOS_10_3.0,0.9354838709677419,0.9666666666666667,0.9508196721311475,30
leaf:iOS_11_0.0,1.0,1.0,1.0,1
leaf:iOS_11_2.0,0.75,1.0,0.8571428571428571,3
leaf:iOS_11_4.0,0.45454545454545453,1.0,0.625,5
leaf:iOS_12_0.0,0.0,0.0,0.0,2
leaf:iOS_12_1.0,0.8,0.8,0.8,5
leaf:iOS_12_2.0,0.0,0.0,0.0,2
leaf:iOS_12_3.0,0.0,0.0,0.0,6
leaf:iOS_12_4.0,0.8363636363636363,0.9787234042553191,0.9019607843137255,47
leaf:iOS_13_1.0,0.0,0.0,0.0,9
leaf:iOS_13_2.0,0.0,0.0,0.0,6
leaf:iOS_13_3.0,0.125,0.12903225806451613,0.12698412698412698,62
leaf:iOS_13_4.0,0.0637065637065637,0.8918918918918919,0.11891891891891893,37
leaf:iOS_13_5.0,0.8455882352941176,0.1969178082191781,0.3194444444444444,584
leaf:iOS_13_6.0,1.0,0.75,0.8571428571428571,4
leaf:iOS_14_0.0,0.8888888888888888,1.0,0.9411764705882353,8
leaf:macOS_10_10.0,0.35714285714285715,0.8333333333333334,0.5,12
leaf:macOS_10_11.0,0.5882352941176471,0.6451612903225806,0.6153846153846154,31
leaf:macOS_10_12.0,0.6,0.35294117647058826,0.4444444444444444,17
leaf:macOS_10_13.0,0.6216216216216216,0.8846153846153846,0.7301587301587301,52
leaf:macOS_10_14.0,0.8958333333333334,0.6935483870967742,0.7818181818181819,62
leaf:macOS_10_15.0,0.9180887372013652,0.893687707641196,0.9057239057239057,301
leaf:macOS_10_6.0,0.0,0.0,0.0,1
leaf:macOS_10_7.0,0.0,0.0,0.0,0
leaf:macOS_10_8.0,0.0,0.0,0.0,2
leaf:macOS_10_9.0,0.5833333333333334,0.7777777777777778,0.6666666666666666,9
