leaf_id,count
leaf:Windows_10,22591
leaf:Windows_7,5483
leaf:iOS_13_5.0,4863
leaf:macOS_10_15.0,2510
leaf:Android_9,2178
leaf:Android_10,1804
leaf:Android_6_0.0,1694
leaf:Linux_OTHER,1206
leaf:Windows_8_1.0,1036
leaf:Android_7_0.0,730
leaf:Android_8_0.0,609
leaf:macOS_10_14.0,519
leaf:iOS_13_3.0,516
leaf:Windows_XP,455
leaf:macOS_10_13.0,429
leaf:iOS_12_4.0,394
leaf:Linux_Ubuntu,382
leaf:Android_8_1.0,365
leaf:iOS_13_4.0,306
leaf:Android_7_1.0,283
leaf:macOS_10_11.0,261
leaf:iOS_10_3.0,249
leaf:Android_OTHER,217
leaf:Windows_8_OTHER,197
leaf:Windows_Vista,172
leaf:Android_5_1.0,168
leaf:macOS_10_12.0,151
leaf:macOS_10_10.0,98
leaf:macOS_10_9.0,75
leaf:iOS_13_1.0,74
leaf:iOS_14_0.0,70
leaf:Android_4_4.0,65
leaf:iOS_12_3.0,53
leaf:iOS_13_2.0,50
leaf:iOS_11_4.0,44
leaf:iOS_12_1.0,38
leaf:macOS_OTHER,34
leaf:iOS_13_6.0,34
leaf:Android_4_1.0,33
leaf:iOS_11_2.0,26
leaf:Android_5_0.0,24
leaf:Android_4_2.0,22
leaf:Android_4_0.0,20
leaf:macOS_10_8.0,20
leaf:iOS_12_0.0,18
leaf:iOS_12_2.0,14
leaf:iOS_12_OTHER,10
leaf:iOS_11_0.0,8
leaf:macOS_10_6.0,4
leaf:iOS_10_0.0,3
leaf:iOS_10_2.0,3
leaf:macOS_10_7.0,3
